Voyage_ID,Date,Ship_Type,Route_Type,Speed_Over_Ground_knots,Engine_Power_kW,Distance_Traveled_nm,Draft_meters,Weekly_Voyage_Count,Weather_Condition
1,2023-06-04,Container Ship,,12.597557515686042,2062.9839824772357,1030.943615593997,14.132284071125286,1,Moderate
2,2023-06-11,Fish Carrier,Short-haul,10.387579878856574,1796.0574150718112,1060.4863823118408,14.653082829717809,6,Rough
3,2023-06-18,Container Ship,Long-haul,20.74974664420201,1648.5566845480694,658.8741441343343,7.1992613426501695,9,Moderate
4,2023-06-25,Bulk Carrier,Transoceanic,21.055102014905927,915.2617948896436,1126.822519111847,11.789062538755967,1,Moderate
5,2023-07-02,Fish Carrier,Transoceanic,13.742776795817988,1089.7218028286502,1445.281158929249,9.727833317955527,8,Moderate
6,2023-07-09,Fish Carrier,Long-haul,18.616195611741468,2171.646567430521,723.304214719695,14.916319562331651,7,Rough
7,2023-07-16,Fish Carrier,Transoceanic,20.43311857278614,2505.0435086214798,270.1185880112646,8.45526416996712,3,Rough
8,2023-07-23,Container Ship,Short-haul,23.498047769495663,814.8064524429055,1717.3284132746649,9.28377990192107,6,Moderate
9,2023-07-30,,Coastal,17.309361532334922,1179.0188054395132,429.5643130785174,6.002357886411493,8,Moderate
10,2023-08-06,Container Ship,Long-haul,23.227100512168303,2685.401653729051,1588.7922821452748,11.721261230899009,2,Calm
11,2023-08-13,Fish Carrier,Short-haul,11.635109413982672,2522.6971944758825,1224.8462670054182,10.900540317805945,9,Moderate
12,2023-08-20,Tanker,Transoceanic,18.25357726090888,2129.517895118907,1311.9785765792312,11.955647933599463,4,Rough
13,2023-08-27,Container Ship,Short-haul,10.225342431762162,1599.126107139571,1499.723611287863,11.136576091888754,3,Moderate
14,2023-09-03,Bulk Carrier,Long-haul,12.50124251034738,2780.449639953995,1474.0718848591584,7.620740183758255,7,Rough
15,2023-09-10,Tanker,Long-haul,11.7187831853496,1994.025089845864,1320.4578363183314,12.14587022069269,7,Calm
16,2023-09-17,Tanker,Long-haul,15.087218418880006,578.8928793015348,1932.2131318777367,12.99826968582838,3,Rough
17,2023-09-24,Bulk Carrier,Transoceanic,20.737837510524542,2525.6728965520856,1813.9455678401207,10.943832419746522,2,Rough
18,2023-10-01,Tanker,Long-haul,14.67203769376255,1930.3789825465076,884.7901020683291,5.294924563405826,4,Moderate
19,2023-10-08,Fish Carrier,Coastal,23.76428684807006,1771.7694846572035,1061.9329732820652,8.521647318256907,3,Calm
20,2023-10-15,Bulk Carrier,Long-haul,22.638799951120934,1504.1158525177732,1146.9156239443953,12.558873185732706,6,Calm
21,2023-10-22,Container Ship,,23.803846551474805,1120.6992408852093,1169.4784973616054,10.5447990068543,8,Rough
22,2023-10-29,Bulk Carrier,Short-haul,22.76036337732348,2335.262890128015,1461.9175377034037,7.980762207042805,6,Calm
23,2023-11-05,,Coastal,18.754870349619587,1305.423686045821,354.5996748867957,8.052449556529238,2,Calm
24,2023-11-12,Container Ship,Coastal,15.22834729400141,1283.142455932898,713.2055517006775,10.911586225166502,3,Moderate
25,2023-11-19,,Coastal,18.0690113638911,2922.2825817024354,559.861348770663,10.417704170418997,4,Calm
26,2023-11-26,Container Ship,Long-haul,17.671558339628614,1845.7646990164,1708.7953545611638,10.508273142267493,4,Rough
27,2023-12-03,,Coastal,20.994958012271184,2296.3297861034275,275.1871050048102,7.124894908906112,1,Calm
28,2023-12-10,Fish Carrier,Coastal,14.06854894212048,2658.6561637000696,1799.7964049421576,12.081070275860403,5,Moderate
29,2023-12-17,Bulk Carrier,Short-haul,18.00364740792694,1643.936540171056,177.1664322201235,9.28847347159594,6,Moderate
30,2023-12-24,Fish Carrier,Transoceanic,11.024443984090947,2957.614133112831,801.8643544981202,13.64420402596233,1,Calm
31,2023-12-31,Fish Carrier,Long-haul,15.962042289818918,540.9402194788022,1376.4202801025865,14.675854222090976,5,Moderate
32,2024-01-07,Fish Carrier,Long-haul,21.42788382410542,2027.885437433521,1694.344122552683,11.765944514990675,9,Calm
33,2024-01-14,Bulk Carrier,,18.055694312516472,2940.980609776943,1674.0560940305757,14.255467803247107,1,Calm
34,2024-01-21,Tanker,Transoceanic,14.488952818191624,1541.616005263132,1602.7553991582415,10.24917618671872,3,Rough
35,2024-01-28,Tanker,Short-haul,23.290970576859745,520.0792590935791,1532.275223689815,11.462348530586734,2,Calm
36,2024-02-04,Container Ship,Coastal,10.1986619735919,504.48111437838514,378.28538014518256,12.145465295325351,1,Calm
37,2024-02-11,Container Ship,Transoceanic,23.036820458752292,1228.1038827325592,150.19837427332678,7.434287287370802,2,Moderate
38,2024-02-18,Fish Carrier,Coastal,13.0400710943843,2012.887747027562,1057.3337152681795,13.378385519981888,2,Moderate
39,2024-02-25,Tanker,Long-haul,18.26540637230576,1223.1645641678065,1592.742828050205,6.831528742284072,5,Calm
40,2024-03-03,Fish Carrier,Short-haul,24.27463876207628,2041.3466174787836,1487.3717181500615,5.5710686082283045,8,Moderate
